municipality,site_id,label,latitude,longitude,observed_count,observed_unit,observation_period,source,source_url
Toronto,48115,Weston Rd / Oak St,43.7077852393058,-79.5336270294691,104.88,average pedestrians/hour during count,Latest 8-hour count on 2023-01-24; derived from 839 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,111527,Weston Rd / Ormont Dr,43.764874938826,-79.5453640568366,41.57,average pedestrians/hour during count,Latest 14-hour count on 2024-11-12; derived from 582 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39041,Weston Rd / Oxford Dr,43.6879056052387,-79.4920004206535,95.88,average pedestrians/hour during count,Latest 8-hour count on 2019-06-19; derived from 767 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,30579,Weston Rd / Porter Ave,43.6828852798013,-79.4786691663386,20.75,average pedestrians/hour during count,Latest 8-hour count on 2014-01-16; derived from 166 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39099,Weston Rd / Ray Ave,43.6886660867722,-79.4941967600081,69.25,average pedestrians/hour during count,Latest 8-hour count on 2019-06-25; derived from 554 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,109870,Weston Rd / Rogers Rd,43.6816090150349,-79.4767513987156,169.57,average pedestrians/hour during count,Latest 14-hour count on 2024-05-29; derived from 2374 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39063,Weston Rd / Rutherford Ave,43.6900562043719,-79.4978935174874,28.25,average pedestrians/hour during count,Latest 8-hour count on 2019-06-19; derived from 226 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,6911,Weston Rd / Seneca Ave,43.6803453625501,-79.4754867102106,35.12,average pedestrians/hour during count,Latest 8-hour count on 1998-11-26; derived from 281 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,114707,Weston Rd / Sheppard Ave W,43.7337468092053,-79.5382288493072,30.71,average pedestrians/hour during count,Latest 14-hour count on 2025-11-15; derived from 430 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,115249,Weston Rd / Sidney Belsey Cres,43.6932803381769,-79.5046808364553,60.07,average pedestrians/hour during count,Latest 14-hour count on 2026-01-22; derived from 841 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
Toronto,39111,Weston Rd / Somerville Ave,43.6885702902916,-79.4939340685949,49.0,average pedestrians/hour during count,Latest 8-hour count on 2019-06-25; derived from 392 published pedestrians,City of Toronto Multimodal Intersection Counts,https://open.toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/
